earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2022-03-16 14:36:30.997,37.7132,2022-03-16,141.5793,0.115,0.0,0.033,0.0,100.3,11.0,0.105,0.02,2022-03-16 14:36:30.997,7.3
2021-12-29 18:25:51.962,-7.5482,2021-12-29,127.5773,0.112,0.0,0.021,0.0,99.0,17.0,0.173,0.027,2021-12-29 18:25:51.962,7.3
2021-12-14 03:20:23.809,-7.6033,2021-12-14,122.2274,0.112,0.0,0.021,0.0,99.1,17.0,0.174,0.027,2021-12-14 03:20:23.809,7.3
2021-11-28 10:52:14.579,-4.4667,2021-11-28,-76.8126,0.169,0.0,0.023,0.0,84.4,24.3,0.327,0.028,2021-11-28 10:52:14.579,7.5
2021-10-02 06:29:17.897,-21.1265,2021-10-02,174.8958,0.112,0.0,0.038,0.0,100.0,13.2,0.128,0.027,2021-10-02 06:29:17.897,7.3
2021-09-08 01:47:47.437,16.9465,2021-09-08,-99.753,0.119,0.0,0.03,0.0,92.5,12.8,0.138,0.02,2021-09-08 01:47:47.437,7.0
2021-08-22 21:33:18.983,-60.2845,2021-08-22,-24.8743,0.209,0.0,0.041,0.0,107.6,15.6,0.15,0.02,2021-08-22 21:33:18.983,7.1
2021-08-14 12:29:08.454,18.4335,2021-08-14,-73.4822,0.14,0.0,0.031,0.0,106.1,12.0,0.152,0.02,2021-08-14 12:29:08.454,7.2
2021-08-12 18:35:17.231,-58.3753,2021-08-12,-25.2637,0.31,0.0,0.04,0.0,154.2,14.2,0.226,0.021,2021-08-12 18:35:17.231,8.1
2021-08-12 18:32:52.464,-57.5674,2021-08-12,-25.0316,0.269,0.0,0.04,0.0,130.8,13.6,0.195,0.021,2021-08-12 18:32:52.464,7.5
2021-08-11 17:46:13.143,6.4748,2021-08-11,126.7151,0.133,0.0,0.021,0.0,90.2,43.5,0.269,0.018,2021-08-11 17:46:13.143,7.1
2021-07-29 06:15:49.188,55.3635,2021-07-29,-157.8876,0.188,0.0,0.058,0.0,119.9,12.8,0.08,0.013,2021-07-29 06:15:49.188,8.2
2021-05-21 18:04:13.565,34.5983,2021-05-21,98.2513,0.103,0.0,0.031,0.0,97.9,10.7,0.087,0.019,2021-05-21 18:04:13.565,7.3
2021-03-20 09:09:43.966,38.4515,2021-03-20,141.6477,0.112,0.0,0.032,0.0,97.0,10.3,0.099,0.019,2021-03-20 09:09:43.966,7.0
2021-03-04 19:28:33.178,-29.7228,2021-03-04,-177.2794,0.177,0.0,0.055,0.0,152.4,9.4,0.149,0.025,2021-03-04 19:28:33.178,8.1
2021-03-04 17:41:23.370,-29.6768,2021-03-04,-177.8398,0.174,0.0,0.055,0.0,149.8,9.3,0.146,0.025,2021-03-04 17:41:23.370,7.4
2021-03-04 13:27:34.647,-37.4787,2021-03-04,179.4576,0.166,0.0,0.118,0.0,131.2,24.0,0.097,0.036,2021-03-04 13:27:34.647,7.3
2021-02-13 14:07:49.797,37.7265,2021-02-13,141.7751,0.111,0.0,0.031,0.0,96.3,10.5,0.101,0.019,2021-02-13 14:07:49.797,7.1
2021-02-10 13:19:55.530,-23.0511,2021-02-10,171.6566,0.104,0.0,0.044,0.0,93.2,11.3,0.105,0.026,2021-02-10 13:19:55.530,7.7
2021-01-21 12:23:04.255,4.9931,2021-01-21,127.5145,0.128,0.0,0.022,0.0,87.5,40.9,0.257,0.017,2021-01-21 12:23:04.255,7.0
2020-10-30 11:51:27.348,37.8973,2020-10-30,26.7838,0.122,0.0,0.032,0.0,99.0,10.1,0.099,0.019,2020-10-30 11:51:27.348,7.0
2020-10-19 20:54:38.950,54.602,2020-10-19,-159.6258,0.221,0.0,0.055,0.0,144.0,11.4,0.099,0.013,2020-10-19 20:54:38.950,7.6
2020-07-22 06:12:44.810,55.0715,2020-07-22,-158.596,0.206,0.0,0.056,0.0,132.4,11.9,0.09,0.012,2020-07-22 06:12:44.810,7.8
2020-07-17 02:50:22.178,-7.836,2020-07-17,147.7704,0.139,0.0,0.019,0.0,117.4,16.2,0.216,0.026,2020-07-17 02:50:22.178,7.0
2020-06-23 15:29:04.350,15.8861,2020-06-23,-96.0077,0.171,0.0,0.028,0.0,131.9,12.4,0.201,0.019,2020-06-23 15:29:04.350,7.4
2020-06-18 12:49:53.844,-33.2927,2020-06-18,-177.8571,0.191,0.0,0.055,0.0,158.3,8.4,0.134,0.025,2020-06-18 12:49:53.844,7.4
2020-03-25 02:49:21.160,48.9638,2020-03-25,157.6955,0.212,0.0,0.041,0.0,161.6,8.9,0.131,0.018,2020-03-25 02:49:21.160,7.5
2020-02-13 10:33:44.406,45.6161,2020-02-13,148.959,0.127,0.0,0.038,0.0,102.3,9.0,0.087,0.019,2020-02-13 10:33:44.406,7.0
2020-01-28 19:10:24.918,19.4193,2020-01-28,-78.756,0.128,0.0,0.031,0.0,98.5,10.9,0.13,0.019,2020-01-28 19:10:24.918,7.7
2019-11-14 16:17:40.578,1.6213,2019-11-14,126.4156,0.116,0.0,0.028,0.0,84.3,31.7,0.226,0.02,2019-11-14 16:17:40.578,7.1
2019-07-14 09:10:51.523,-0.5858,2019-07-14,128.034,0.134,0.0,0.032,0.0,101.7,25.4,0.252,0.023,2019-07-14 09:10:51.523,7.2
2019-07-06 03:19:53.040,35.7695,2019-07-06,-117.5993333,0.143,0.0,0.042,0.0,107.7,9.3,0.091,0.019,2019-07-06 03:19:53.040,7.1
2019-06-24 02:53:39.830,-6.4078,2019-06-24,129.1692,0.098,0.0,0.022,0.0,84.5,17.0,0.156,0.027,2019-06-24 02:53:39.830,7.3
2019-06-15 22:55:04.130,-30.6441,2019-06-15,-178.0995,0.187,0.0,0.058,0.0,160.5,9.4,0.151,0.026,2019-06-15 22:55:04.130,7.3
2019-05-26 07:41:15.073,-5.8119,2019-05-26,-75.2697,0.128,0.0,0.022,0.0,60.9,28.8,0.252,0.027,2019-05-26 07:41:15.073,8.0
2019-05-14 12:58:25.939,-4.051,2019-05-14,152.5967,0.144,0.0,0.029,0.0,108.5,18.2,0.256,0.026,2019-05-14 12:58:25.939,7.6
2019-05-06 21:19:37.983,-6.9746,2019-05-06,146.4494,0.143,0.0,0.021,0.0,119.3,17.0,0.231,0.027,2019-05-06 21:19:37.983,7.1
2019-03-01 08:50:42.591,-14.7131,2019-03-01,-70.1546,0.218,0.0,0.026,0.0,91.5,38.1,0.439,0.019,2019-03-01 08:50:42.591,7.0
2019-02-22 10:17:23.770,-2.1862,2019-02-22,-77.0505,0.137,0.0,0.024,0.0,73.6,21.2,0.254,0.027,2019-02-22 10:17:23.770,7.5
2018-12-29 03:39:09.740,5.8983,2018-12-29,126.9209,0.133,0.0,0.021,0.0,90.4,43.6,0.269,0.018,2018-12-29 03:39:09.740,7.0
2018-12-20 17:01:55.150,55.0999,2018-12-20,164.6993,0.163,0.0,0.052,0.0,111.7,10.3,0.078,0.015,2018-12-20 17:01:55.150,7.3
